id,anio,mes,maquina,central,agente,agente_descripcion,tipo_maquina,fuente_generacion,tecnologia,combustible,consumo,fecha_proceso,lote_id_log,indice_tiempo
222894,2019,10,MATETG04,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,TURBO GAS,Térmica,TG,GAS NATURAL,0.836,2020-05-05 11:07:07.467556,67,2019-10
222895,2019,10,MATETG06,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,TURBO GAS,Térmica,TG,GAS NATURAL,0.822,2020-05-05 11:07:07.467556,67,2019-10
222896,2019,10,MATETG08,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,TURBO GAS,Térmica,TG,GAS NATURAL,0.371,2020-05-05 11:07:07.467556,67,2019-10
222897,2019,10,MATETG09,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,TURBO GAS,Térmica,TG,GAS NATURAL,0.296,2020-05-05 11:07:07.467556,67,2019-10
222898,2019,10,MATETG10,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,TURBO GAS,Térmica,TG,GAS NATURAL,0.371,2020-05-05 11:07:07.467556,67,2019-10
222899,2019,10,LCAMTG01,LCAM,CTLCAMPG,CT LOMA CAMPANA 1 -YPF,TURBO GAS,Térmica,TG,GAS NATURAL,16048.829,2020-05-05 11:07:07.467556,67,2019-10
222900,2019,10,LCA2TG01,LCA2,CTLCAM2G,CT LOMA CAMPANA 2 -Y-GEN ELECT,TURBO GAS,Térmica,TG,GAS NATURAL,17047.265,2020-05-05 11:07:07.467556,67,2019-10
222901,2019,10,ALUATG05,ALUAR,ALUAMAUG,ALUAR SA - GENERADOR,TURBO GAS,Térmica,TG,GAS NATURAL,2029.358,2020-05-05 11:07:07.467556,67,2019-10
222902,2019,10,ALUATG06,ALUAR,ALUAMAUG,ALUAR SA - GENERADOR,TURBO GAS,Térmica,TG,GAS NATURAL,3445.131,2020-05-05 11:07:07.467556,67,2019-10
222903,2019,10,BRKETG01,BRKE,CTBARKEG,CT BARKER,TURBO GAS,Térmica,TG,GAS NATURAL,4725.004,2020-05-05 11:07:07.467556,67,2019-10
222904,2019,10,BRKETG02,BRKE,CTBARKEG,CT BARKER,TURBO GAS,Térmica,TG,GAS NATURAL,5119.18,2020-05-05 11:07:07.467556,67,2019-10
222905,2019,10,BRKETG03,BRKE,CTBARKEG,CT BARKER,TURBO GAS,Térmica,TG,GAS NATURAL,5950.082,2020-05-05 11:07:07.467556,67,2019-10
222906,2019,10,BRCHTG01,BRCH,CTBRACHG,CT BRACHO - Y-GEN ELECTRICA II,TURBO GAS,Térmica,TG,GAS NATURAL,3459.481,2020-05-05 11:07:07.467556,67,2019-10
222907,2019,10,EZEITG01,EZEI,CTEZEI2G,CT EZEIZA ETAPA2 G MEDITERRANE,TURBO GAS,Térmica,TG,GAS NATURAL,9758.016,2020-05-05 11:07:07.467556,67,2019-10
222908,2019,10,BBLMDI01,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS NATURAL,1876.612,2020-05-05 11:07:07.467556,67,2019-10
